'	492|493|495|496|499|503|506|507|511|520|521|524|526|530|531
argument	499|508|517
arguments	499|535
argyle	531
arhitects	529
aria	495|515
aria-charts-accreditations-singles-2000	515
aria-charts-end-of-year-charts-top-100-singles-2000	515
arid	527
arise	493
arisen	489|527
arises	492|524
aristocracies	517
aristocracy	517
aristocratic	517
arithmetic	535
arm	496|515
arma39	529
armed	499|517
armies	499|517
arming	499|517
armistice	518
armo	493
armored	493|499
armories	499
armour	527
arms	490|499|517|527|529|531
army	490|499|517
arose	503|520|521|527
around	486|488|491|492|493|495|496|499|501|503|506|507|508|513|517|519|522|523|524|527|529|531|533
aroused	506|517
arraigned	517
arrange	522
arranged	488|496|519|529
arrangement	489|493|496|506|507|517|518|520|521|526|531
arrangements	486|492|507|529
arranger	531
arrangers	506
arranging	522
array	515|523|529
arrears	517
arrest	506|517|531
arrested	499|531
arresting	499
arrests	506
arrhythmias	528
arrival	496|506|519|531
arrive	496|499|522|527
arrived	492|499|503|518|519|529|531
arriving	518|527
arrogance	506|533
arrow	486
arroyo	503
ars	486
arse	492|493
arsed	492
arsenal	499
arsenical	528
arstechnica	486
art	492|497|498|499|506|514|518|529|531|533
art00010	505
art29v56n1	523
artanddesign	533
artefact	493
artery	527
artfully	488
arthropod	527
arthropods	527
article	486|487|488|489|490|491|492|493|494|495|496|497|498|499|500|501|502|503|504|505|506|507|508|509|510|511|512|513|514|515|516|517|518|519|520|521|522|523|524|525|526|527|528|529|530|531|532|533|534|535
article's	516
article-1113763	531
article-1244659	531
article-1333885	486
article-2018020	531
article-2018126	531
article-2072571	491
article-2175328	531
article-23435061-details	531
article-23856430-harvesting-cash-from-american-idol-tv-votes	506
article-40603	527
article1164010	531
article1536	506
article1809903	486
article2321785	529
article3007057	531
article3237556	531
article3788805	531
article3892427	531
article4025186	531
article4107761	531
article4372922	531
article5425837	531
article6966553	531
article936256	529
article9455	506
articleID	486
articleId	499
article_display	495|515|531
article_id	506
articleid	531
articles	486|487|488|489|490|491|492|493|495|496|497|498|499|500|501|502|503|504|505|506|507|508|509|510|513|514|515|516|517|518|519|520|521|522|523|524|525|526|527|528|529|530|531|533|535
articleshow	531
articular	527
articulated	492|499|519
articulation	519
artifact	493
artifacts	498
artificial	501
artificially	519
artikelen	529
artillery	488|499
artisan	493
artist	488|491|495|500|506|507|510|515|520|521|522|526|529|530|531|533
artistic	497|533
artists	488|491|498|500|504|506|507|510|513|515|520|521|522|526|529|530|531
artizan	493
arts	492|493|498|506|507|518|529|531|533|534
arts-entertainment	531
arts_and_entertainment	531
artwork	491
aru	524
arvato	486
as	486|487|488|489|490|491|492|493|494|495|496|497|498|499|500|501|502|503|504|505|506|507|508|509|510|511|512|513|514|515|516|517|518|519|520|521|522|523|524|525|526|527|528|529|530|531|532|533|534|535
as00_faleomavaega	518
asanltr	527
ascap	520|521|531
ascaps-attack-on-creative_b_641965	520|521
ascendancy	493
aschool	529
ascribed	492
asd-1817	519
asdeathratehighestamongstates	518
ase	519
asgpage	518
asia	518|527
asia-pacific	518
asian_amphibian_crisis	527
aside	490|492|496|503
asih	527
ask	499|507|519|522
asked	486|491|492|499|501|506|507|515|517|526|530|531|535
asking	490|531|533
askmen	531
askoxford	493
asks	535
asktheexperts	493
asl	519
asld	519
asp	486|490|491|492|493|495|505|507|515|517|518|519|524|528|529|533
aspect	506|508|519|531
aspects	492|499|506|517|527|535
aspectual	519
aspired	491|533
aspiring	531
aspx	486|490|493|499|501|506|507|515|529|530|531
ass	492|493
assassinated	499
assault	506|517|531
assaulted	499|531
assaults	499
assemblages	525
assemble	498
assembled	527
assemblies	517
assembly	491|517
assert	517
asserted	486|499|517
asserts	517
assess	490|527
assessed	517|525
assessing	490
assessment	499|506
asset	496
assets	486|496|509|526
assign	517
assigned	487
assimilated	503
assimilation	529
assimilatory	519
assist	508|523|533
assistance	517|531|533
assistant	519|526|531
assisted	499|529|533
assisting	506
associate	492|494|497|504
associate's	492
associated	492|493|496|501|507|517|520|521|523|524|527|528|529
associates	486
association	492|493|494|496|501|508|514|524|527|528|533
association's	497|514
associations	494|508|514|519|520|521
assortment	486|498|514
asst	528
assume	486
assumed	499|503|514|517|519|525
assumes	519
assuming	506
assumption	519|535
assurance	493|527
assurances	517
assure	490|498
asterisks	519
astonishing	499
astronaut	518
astronomer	533
astronomy	518
asw	529
asylum	529
asymmetric	525
asymptotic	535
at	486|487|488|489|490|491|492|493|494|495|496|497|498|499|500|501|502|503|504|505|506|507|508|509|510|511|512|513|514|515|516|517|518|519|520|521|522|523|524|525|526|527|528|529|530|531|532|533|534|535
at-a-glance	486
at40	522
at5	529
ate	492
ateliers	529
atheists	524
athena	527
athletes	492|518
athletics	523
atmosphere	488|527|529|533
atmospheres	488
atmospheric	488
atmospherics	488
atolls	518
atom	525
atonality	488
atop	522|530
atra	527
atria	527
atrium	527
atropine	528
att	506
attachable	493
attached	492|519|527
attaches	527
attachment	527
attack	490|493|499|509|517
attacked	499|517|523|527|531
attacker	527
attackers	486
attacking	499|527
attacks	486|492|496|499|506|517|530
attain	535
attained	488|491|496|514
attainment	499|503|504|517
attempt	496|499|508|515|517|518|522|523|533|535
attempted	496|499|506|517|522|523|531
attempts	496|499|517|527|529
attend	492|520|521|531
attendance	492|508|520|521|531
attended	492|506|523|530|531
attendees	508
attending	506|523
attention	488|498|506|517|520|521|531
attentiveness	523
attire	529
attitude	517|529|531
attitudes	517
attract	499|505|523|527|529
attracted	486|496|499|505|506|519|520|521|527|531
attracting	527
attraction	492|506|529
attractions	496|506|529
attractive	496|514
attracts	486|529
attributed	486|506|529|532
attributes	519
attributing	531
attributive	503
attributives	492
attrition	499
atypical	519|531
au	493|495|505|515|524|531
aucharts	495
auction	496|501|514|533
auctionbytes	486
auctioned	533
auctions	486|514
audience	492|495|496|506|507|516|520|521|522|530|531|533
audiences	496|506|516|519|529|531
audio	486|505|508|515|520|521|522|531
audiobook	508
audiobooks	486
audiovisual	508
audition	506|507
auditioned	491|507
auditioner	506
auditioners	506|507
auditions	491|506|507|522
auditory	488|527
audubon	523
auf	533
aug	531
augment	496
augmented	530
auk	523
aupagesARIACharts-Accreditations-2008Singles	495
aupageshttpwww	495
ausf	492
auspices	529
australian-labor	493
australiawideannexes	493
australosphenidan	489
australosphenidans	489
austriancharts	515
authenticity	525
author	499|503|506|508|517|527|530
author's	508|520|521
authorcentral	486
authoritative	492
authorities	492|523|531
authority	493|499|517|518|530|531
authorization	499
authorized	490|499|508
authorizes	508
authorizing	499|517
authors	486|501|502|517|524
auto	486|492|529
autobiography	530
automated	496|503
automatic	486
automation	486|516
automobile	492|493|507|529
automotive	493|503
autonomous	524
autonomy	496|499|518|519
autosnelwegen	529
autosomal	501
autotomise	527
autotomy	527
autumn	492|503|505|531
auxiliaries	492|503
auxiliary	535
availability	506|523
available	486|487|488|489|490|491|492|493|494|495|496|497|498|499|500|501|502|503|504|505|506|507|508|509|510|511|512|513|514|515|516|517|518|519|520|521|522|523|524|525|526|527|528|529|530|531|532|533|534|535
avalon	517
average	486|499|506|507|517|518|522|523|524|525|527|529
averaged	506|527
averages	506
averaging	506|525
aviation	492
aviator	518
aviewoncities	529
avion	493
avoid	486|492|493|496|499|517|522|523|524|527
avoidance	486
avoided	492|501|515|517
avoiding	492|527
avoids	492|493
avowal	499
aw	524|529
aw_lists_genera_	527
aw_search_index	527
awa	518
award	500|506|508|510|514|531
award-winning	495|496
awardDescription	530
awarded	492|500|508|510|529|530
awards	498|500|504|506|507|508|510|511|512|513|515|520|521|529|530|531
awardsandprizes	531
awardsgrants	508
aware	488|492|507
awareness	531
away	486|490|491|492|493|499|503|505|514|517|522|523|527|531
awe	533
awe-inspiring	533
awry	533
ax	493
axe	492|493|496
axed	507
axes	499
axil	527
axolotl	527
axzz1RxkefD8m	486
ayisyen	524|529
azimuthal	524
b	486|487|488|489|490|491|492|493|495|496|499|500|501|503|504|505|506|507|508|510|514|515|517|518|519|522|523|524|526|527|528|529|530|531|533|535
b206153_american_country_awards_new_show_same	500
b6-5	528
b96	531
bD_6oxyb4rc	531
bP0d3QWVxsr93XvM0rp6NgTRm7g	527
babbling	488
babies	488|529
baby	486|531
bachelor's	492
back	486|489|490|491|492|493|495|496|499|501|503|504|505|506|507|517|518|519|520|521|522|523|527|529|530|531|533|535
back-end	486
back-formation	493|503
back-formations	503
backbone	527
backcountry	517
backdrop	503
backed	486|503|530
background	488|492|499|509|515|522|527|529|533
backing	515|526|531
backlash	486|517|531
backpack	503
backs	501|527
backseat	503
backstage	531
backstories	506
backstreet_boys	510
backtrack	503
backup	486|530
backward	489
backward-pointing	527
backwards	492|527
backyard	503|505
bacteria	527
bacterium	528
bad	486|496|503|506|531
bad-mouth	503
badge	531
badges	499
badging	486
badlands	503
badly	496
bag	492
baggage	503
bail	503|531
bailed	531
baited	527
bake-off	506
bakery	503
balance	488|499|508|517|527
balanced	517
balancers	527
balconies	529
bales	499
balked	496
ball	492|496|523|531|533
ballad	507|526
ballads	504|515
baller	492
balloon	527
ballots	498|499
ballpark	503
balls	499
balm	505
bamboo	488
ban	506|522|531
band	492|495|496|506|507|516|520|521|526|529|530|531
banded	523
bands	488|499|504|516|517
bandwagon	503
banjo	504
bank	493|496|503
bankers	517
banking	493|514
bankrate	506
bankruptcy	496|509|517
banks	499|517|529
banned	499|506|508|522|531
banner	496|522
banners	486
banning	508
banquet	492
baptized	492
bar	489|492|515|520|521
barbecue	503
barber's	492
barbershop	492
bare	492|523
barefoot	530|531
barely	493|499|517
bargain	503
bargepole	492
bark	503|505
barking	527
barley	503
barn	501|503
barometer	498
barometers	533
baroque	529
barrage	530
barre	529
barred	496|499
barrel	503
barrels	499
barren	490
barrens	503
barrier	528
bars	505|520|521|529
bartender	503
bartleby	492|493|503|517
basal	527
base	486|494|496|499|501|503|506|517|522|527|529|530
baseball	492|503|518|529
baseboard	503
based	486|487|488|492|493|496|499|501|502|504|506|507|508|509|510|514|515|517|518|519|520|521|522|524|527|529|530|531|532|533
baseline	490
basement	492|503
bases	490|530
bases-de-donnees	524
basic	486|489|499|504|519|522|529
basically	495|520|521|527
basics	508
basin	489|524|527
basins	524
basis	489|490|492|499|503|504|507|510|515|522|529|530
basket	527
basketball	492|518|529
bass	488|504|507|510
bassist	530
batch	527
bath	492|493
bathe	493|523
bathing	493
bathroom	492
batrachian	527
batrachology	527
bats	527
batteries	499
battery	486
battle	499|506|517|518|531
battled	531
battlefield	499
battles	499|531
bay	501|529
bayesian	505
bayou	503
bbb	486
bbbiz	495|506
bbc	486|493|495|506|507|518|524|531
bbc_news_execs_clash_over_celebrity_coverage	531
bbcom	495|515|531
bbwinehouse14	531
bd	527
be	486|487|488|490|491|492|493|494|495|496|498|499|501|502|503|504|505|506|507|508|509|514|515|516|517|518|519|520|521|522|523|524|525|526|527|528|529|530|531|533|535
beach	518
beak	505|523|527
bear	519|525
bearbee	505
bearing	489|506|515
bears	515
beastie-boys-score-no-2-debut-on-billboard-1005179162	507
beat	488|491|492|495|499|506|531
beating	491|492|506|518
beats	488
beatweek	507
beautician	503
beautiful	504|506
beauty	486
bebe	486
bec	523|524
became	486|488|492|493|495|496|498|499|501|503|504|506|507|510|516|517|518|520|521|522|524|527|529|530|531|532
because	486|487|488|491|492|493|494|495|496|497|499|501|503|504|505|506|507|508|514|515|516|517|518|519|522|523|524|525|526|527|528|529|530|531|534
become	486|490|492|493|496|499|501|503|504|505|506|507|508|514|517|519|522|523|524|527|529|530|533|535
becomes	486|493|503|506|523|527|529
becoming	492|495|496|499|503|505|517|526|527|529
bed	531
bedrock	503
beds	523|529
bee	505
beef	493|517
beehive	531
been	486|487|488|490|491|492|493|495|496|498|499|501|503|504|505|506|507|508|510|513|514|515|516|517|518|519|520|521|522|523|524|525|526|527|528|529|530|531|532|533|535
beer	493|529
beetles	523|527
beets	529
before	486|488|491|492|493|496|499|503|504|505|506|507|508|509|513|517|518|522|523|527|529|530|531|533
beforehand	493
beg34	529
began	486|488|490|491|493|496|499|501|502|503|504|506|507|508|509|516|517|518|522|524|527|529|530|531|533
beget	493
begged	506
begging	523
begin	492|493|495|499|505|507|517|519|520|521|522|523|527
beginning	492|493|496|499|501|503|504|505|507|510|515|517|519|522|524|529|530|531|535
beginnings	529
begins	499|503|505|519|523
begotten	493
begun	486|496|499|506|516|518|519|522|535
behalf	486|499|517|518|520|521|531
behave	505
behaves	527
behavio	493
behavior	486|490|493|499|501|506|517|523|527
behavioral	505
behaviors	517|519|523
behaviour	525|527|531
behavioural	527
behaviourism	493
behaviours	527
behest	531
behind	488|489|491|492|496|499|506|507|517|520|521|522|527|529|531|533
behoove	493
behove	493
being	486|488|490|491|492|493|496|497|499|505|506|507|508|509|513|515|517|518|519|520|521|522|523|524|525|526|527|528|529|530|531|532
beings	499
belfasttelegraph	492
belief	499|517|529
beliefs	504|519
believable	493
believe	503|507
believed	499|517|524|527|529|531
believes	499|508|530|531|533
believing	524
belittle	503
bell	488
bellhop	503
belly	523|527
belofte	529
belong	492|515|519
belonged	523|531
belonging	529
belongs	492|493|510
below	490|492|493|503|505|506|518|522|528|529
bemoaning	506
bemr96	490
bend	499
bends	492
beneficial	488|505|506
beneficiary	498
benefit	486|492|517|523|530|531
benefited	505|506|517|529
benefits	492|505|507|520|521
benefits-cosmetics-2011	486
benkaplan	506
bent	507|519|522
benthamscience	505
benzamidine	528
benzimidazole	528
berkeley	527
berm	492
bernieri	523
berries	505
beside	531|533
besides	505|517
besiege	517
besieged	499
best	486|488|492|493|495|496|499|506|507|508|515|518|522|526|529|530|531|535
best-of-2009-the-year-in-charts-more-1004052398	495
best-seller	517|531
best-selling	486|506|522|526|530|531
best2008	495
bestemmingen	529
bestowed	529
bestows	520|521
bestseller	530
beta	486
betray	517
betrayal	517
better	488|492|493|499|506|517|518|519|523|527|531
better-established	496
betterment	503
betting	519
between	486|487|488|489|490|492|493|496|499|501|503|504|505|506|507|509|510|514|517|518|519|520|521|522|523|524|526|527|528|529|531|533|535
beverages	492
bevolking	529
beyonc-adds-spanish-tracks-to-hit-album	526
beyonce	526
beyonce-and-alejandro-fernandez-pair-for-duet-in-spanish-54485787	526
beyonce-making-of-amor-gitano-	526
beyonce-teams-with-mexican-singer-duet	526
beyond	490|492|515|529
bezos5	486
bg	531
bgn	518
bhccmgt	530
bi-annually	518
bian	519
bias	506|507|519|525
bib	505
biblical	504
biblio	490
bibliographies	499
bibliography	499
biblioteca	527
bicultural	519
bicycle	529
bicycle-friendly	529
bicycles	529
bid	503
bidding	517
big	496|500|506|515|522|529|530|531
big-budget	496
big-city	496|529
big-name	496
big-state	499
biggest	486|495|496|506|518|522|526|529|531|535
biggest-selling	495|531
bike	529
biker	531
bikes	529
biliar	528
bilingual	493|518|519
bilingualism	519
bilinguals	519
bill	486|492|499|505|518|520|521|523|529
bill_bennett_grammys	531
billboard	495|500|506|507|515|531
billboard-singles	515
billiard	492
billiards	492
billion	486|487|492|496|506|509
billions	492|520|521
bills	486|499|523
bimetallism	493
bind	499
binding	499|520|521|528
binds	528
binge	531
binghamton	499
binomial	523
bio	496|531
biochemistry	527
biodiversity	524|527
biographies	517
biography	486|491|515|517|523
biolmol	505
biological	519|525
biologically	490
biology	492|505|524|527
biomass	527
biomonitoring	490
biopolymer	525
bios	527
biosphere	527
biparental	527
bipolar	531
birches	505
bird	503|505|523|533
birdatlas	505
birders	505
birdlife	523
birds	505|523|527|533
birdsbybent	505
birth	491|496|501|506|517|519|520|521|523|527|530|531
birthday	503|508|529|530|531
births	491|530|531
bisch	527
biscuit	492
bisexual	508
bishop	517
bishops	499
bit	491|492|493|518|531
bite	503|523|527
biting	523|527|533
bitis	527
bits	486
bitstream	523
bitten	493
bitter	499|507
biz	495|506
bizaad	505|524|527
bizarre	491|531
bizjournals	486
bl	486|492
black	496|499|501|505|506|517|523|527
blackbelly	527
blackish	523
blackloyalist	517
blackout	490
blacks	499|517
blacktop	503
bladder	527|533
blades	530
blame	499|507|531
blamed	518|531
blank	486|492
blanket	520|521
blankets	499
blanks	492
blast	490
blaster	503
blatant	506
blend	492|504|519|526|527
blended	488
blending	496
blends	492|503
blessing	499|515|533
blizzard	503
bloated	506
block	490|495|496|499|503|517|531|533
blockade	499|517
blockade's	499
blockades	492|499
blockading	499
blockage	506
blocked	499
blocks	492|529
blog	486|496|497|500|506|530|531
blogs	486|495|496|499|506|507|510|515|518|531
blogs-and-stories	506
blogspot	531
blood	501|503|506|517|523|527|528|531
blood-typing	501
bloodied	531
bloodiest	499
bloodline	501
bloodlines	501
bloodshed	499
bloodstreams	527
bloody	499|517|531
bloom	490
blow	492
blown	491
blte	528
blue	493|496|499|501|503|504|517|523|530
blue-green	523|527
bluegrass	504|530
blueplanetbiomes	524
blueprint	506
blues	504|520|521|531
blues-derived	504
bluesandsoul	495
bluff	503
bluing	493
bluish	493
bluish-white	505
blunder	496
blundered	499
blunt	527|531
blur	496
bma	529
bmamycamden525	531
bmglasto429	531
bmj	493
bmjjournals	493
bmz	529
bna	505|523
bo	493
board	486|492|496|503|508|514|520|521
boarded	517
boarding	499|519
boasting	530
boat	490|492|518|529
boats	499|503|529
bob	492
bob9	524
bocagei	523
bodies	493|505|523|524|527|529
bodily	531
body	492|494|499|501|504|505|518|519|523|527|531|533
body-of-proof-renewed-by-abc	496
bodyguard	531
bodyguards	531
bogeyman	493
bokm	486|487|488|496|499|502|503|504|505|506|510|515|517|518|519|520|521|524|527|529|530|531
bold	493|496|506|512|513|524
boldface	511
boldly	499
bolster	496
bolstered	499|519
bolstering	517
bomb	490
bombarded	486|499
bombers	490
bombing	490
bona	506
bonanza	503
bond	528
bondage	499
bonded	518
bondholders	509
bonds	499|517
bone	525|527|531
bones	525|527
bonnet	492
bonus	499|515|517|526|531
bonuses	499|518
bony	527
bony-limbed	527
booed	531
boogaloo	504
booger	493
boogerman	493
boogeyman	493
boogie	493
booing	531
book	486|487|488|489|490|491|492|493|494|495|496|497|498|499|500|501|502|503|504|505|506|507|508|509|510|511|512|513|514|515|516|517|518|519|520|521|522|523|524|525|526|527|528|529|530|531|532|533|534|535
book's	533
book-publishing	509
book_result	526
bookcase	529
booked	513|533
bookings	513
bookmedia	508
books	486|487|490|492|493|498|499|501|504|505|506|508|509|515|517|518|519|520|521|523|524|526|527|529|530|533|534|535
booksellers	508
bookshop	531
booksid	517
bookstore	486
bookstores	486
bookstores-drop-comics-after-amazon-deal-with-dc	486
boom	486|496
boomed	517
boost	486|496|503|517
boot	491|492|507
bootcamp	507
booth	493
boots	499
bora	527
border	499|503|505|506|517|523|524|529
bordered	529
borders	499|529
borders-amazon-barnes-noble-web-online-store-retailer	486
bore	496
bored	531
boredom	504
boreosphenidans	489
boring	488|492|507
born	491|499|501|504|505|506|507|514|517|518|519|522|527|529|530|531
borne	517|523
borough	529
boroughs	529
borrow	486|507
borrowed	492|493|517|519|531|534
borrowing	503|519
borrowings	493
borrows	519
boss	503|531
bossy	503
boston	486|526
bostonherald	531
botanical	529
both	488|489|490|492|493|496|499|502|503|504|505|506|507|508|510|513|514|516|517|518|519|522|523|524|526|527|528|529|530|531|533
bother	503|515
bothered	492
bottle	503|531
bottles	531
bottom	489|491|492|496|503|506|507|518|523|527
bottom-heavy	488
bottomland	503
bought	486|492|496|499|501|506|509|522|533
boughten	492
boulardii	528
bouncer	503
bouncy	519
bound	499|505|517|519|529|535
boundaries	499|505|517|518|524|527
boundary	535
bounded	490|505|535
bounds	535
bounty	499
bourgeois	499
bourse	514
bourses	529
boutique	531
bowl	493|533
bowler	492
bowling	492|531
bows	499|531
box	492|493
box-office	496
boxes	492|496|503
boxing	518|529
boy	495|507|516|533
boycott	486|517|520|521|531
boycotted	517
boycotting	517
boyfriend	531
boys	499|506|507
br	486|527|531
bra	531
brace	503
braces	492
brachiopod	525
brackets	492
brackish	527
bragging	531
brain	507|527
brain-damaged	506
brainchild	514
brainstorm	503
branch	503|505|535
branched	527
branches	505|523|529
branchial	527
brand	486|496|506|514|522|531
branded	496|506
branding	496|506
brands	496|514|529
brant	493
brasier	493
brass	504|522
brave	499
bravery	529
brawl	506
brazier	493
brazos	526
brc	527
breadth	529
break	496|499|506|507|517|522|523|527|529|531|533
break-dancing	498
breakdown	499|507|525
breakeven	503
breaking	496|499|506|514|517|531
breaking38	531
breakout	496
breaks	506|522
breakthrough	530|535
breakup	524|527
breast	531
breathable	493
breathe	527|529
breathed	527
breathing	527|531
bred	501|523
breed	501|523|527
breed's	501
breeders	501|527
breeding	501|505|523|527
breeds	501|523
breezeway	503
brent	493
brevicauda	527
brews	507
bribery	503
brick	486|497|529
brick-and-mortar	486
bride's	492
bridge	490|494|524|529
bridges	499
brief	496|499|506|517|522|529
briefly	496|499|522
briefness	527
briefs	508
bright	501|505|523|527
brightens	505
brighter	529
brightly	505|527
brilliant	505|533
bring	486|496|498|499|517
bringing	486|499|504|520|521|523
brings	505
brink	499
brinkster	529
bristol-cathedral	493
britainexpress	493
britannica	488|524|527
british	492
broad	488|489|503|504|517|524|527|529
broadband	492
broadcast	488|492|496|504|506|507|510|513|515|518|520|521|522
broadcasted	506
broadcaster	496
broadcasters	492|496|520|521
broadcasting	496
broadcastingcable	506|513
broadcastnow	531
broadcasts	496|506|520|521|522
broaden	496|515
broadened	494
broader	504|508|526|527
broadly	492|527
broadsheets	492
broadsides	499
brochures	490|529
broke	499|517|524|529
broken	506|531
broker	486
bromeliad	527
bromide	528
bronchospasms	528
bronco	503
brood	505|527
brooding	527
broods	527
brothels	529
brother	496|499|513|531
brought	488|489|490|491|495|496|499|503|506|517|518|519|520|521|522|524|529|531
brown	499|505|523|529
browner	505
browns	527
browse	492
browser	486|495|504|505|515|523|526|531
browsing	486
bruised	531
brunt	518
bsc	505
bsczi	529
bskEAAAAIBAJ	510
bsl	519
bt	529
bu	519|529
bubble	486
buccal	527
buccopharyngeal	527
buck	492|503
buckaroo	503
bucket	492
bucks	492|530
buddy	503|515
buddytv	506
budget	498|506
buds	505
buff	505
buff-colored	505
bufo	527
bufotoxin	527
bug	496
bugs	523
build	486|490|496|499|501|506|529|531
builders	499
building	486|493|496|499|503|509|514|525|529
buildings	490|492|493|499|529|533
builds	506|523|527
built	490|493|496|499|505|517|520|521|522|527|529|531|533
bulbs	529
bulk	486|496
bulldoze	503
bullet	522|531
bullets	499|517
bullies	491
bullion	499
bullosa	501
bullroarers	488
bullying	491
bum	492
bump	531
bumper	522
bumpers	522
bundle	486|527
bundles	486
bunny	503
burden	503|517
burgeoning	533
burglar	503
burglarised	493
burglarize	503
burglarized	493
burgle	503
burgled	493
burial	501
burn	492
burned	496|499|503|517
burning	499|517|531
burnt	492|503
burrow	527
burrowers	527
burrowing	527
burrows	527
burst	486|496
bus	492|529
busboy	503
buscon	524
buses	529
bushels	517
busiest	529
busiestairports	529
business	486|492|493|496|503|506|508|517|520|521|522|529|531
business-20090991	486
business-20288077	486
business-reviews	486
businesses	486|487|503|517|520|521|529
businessinsider	486
businessweek	486|518
businesswire	486
bust-length	533
but	486|488|489|490|491|492|493|494|496|497|498|499|501|503|504|505|506|507|508|510|513|514|515|516|517|518|519|520|521|522|523|524|526|527|528|529|530|531|533|534|535
butte	503
butter	503
buttocks	492|493
button	492|503|508
buttons	508
buy	486|492|496|499|506|517
buyer	486|496
buyers	486|496|510
buying	486|496|499|501|529
buys	486|496
buzz	496|503|506
buzz-over-jennifer-hudson-ouster-from-american-idol-3-continues-2518	506
bvl	519
by	486|487|488|489|490|491|492|493|494|495|496|497|498|499|500|501|502|503|504|505|506|507|508|509|510|511|512|513|514|515|516|517|518|519|520|521|522|523|524|525|526|527|528|529|530|531|532|533|534|535
by-then	496
bylaws	514
byline	495
bypass	527
bypassing	527
byte	486|519
bz	531
c	486|487|488|489|490|491|492|493|495|496|499|500|501|504|505|506|507|514|515|517|518|519|522|523|524|526|527|528|529|530|531|533
c'est	487
c-command	519
c1	529
c1-27-17-15-13-11-9-7-5-6-8-10-12-14-16-18-34	528
c1dHAAAAYAAJ	523
c2	529
c805d53acf76f2b3	486
c_id	493|531
ca	486|487|505|517|524
ca-	493
caa21997295	518
caah	499
cab	486
caballus	501
cabaret	529
cabin	503
cabinet	492|499
cable	496|506|517|520|521|529
cable-only	496
cables	486
cache_version	529
cacheable	493
cad	506|519
cadaver	525
cadre	493
caecilian	527
caecilian's	527
caecilians	527
caerulescens	523
caesium	493
caf	529
cage	533
cage-birds	533
cake	531
calamites	527
calculating	499
calculation	486|498
calculations	506
calendar	522
calibration	490
calibre	493
caliper	493
call	486|488|492|496|499|504|505|506|508|517|523|524|527|529|531
call-for-jobs-to-go-to-locals-91466-19192844	486
call-letters	496
called	486|488|489|490|491|492|493|494|495|496|499|501|503|504|505|506|507|508|517|518|519|522|523|524|525|526|527|529|530|531|533|534
callidryas	527
calling	496|499|505|522|524|527
calliper	493
calls	492|499|502|505|506|508|517|527|529
callsign	496
calm	488|501|531
calming	488
calqued	519
calvus	523
cambridge	492|493
came	486|490|492|495|496|498|499|503|506|507|508|509|517|518|520|521|522|529|530|531
cameo	515
camera	498|531
cameras	496
camomile	493
camouflage	527
camp	491|496|520|521|529
campaign	486|490|496|499|506|517|530|531
campaigned	508
campaigner	531
campaigning	529
campaigns	486|517
campers	520|521
camps	499|520|521|529|531
campsites	529
campus	523
campuses	496
can	486|487|488|492|493|495|498|499|501|502|503|504|505|506|507|508|510|514|515|516|517|518|519|520|521|522|523|524|525|526|527|528|529|530|531|533|534|535
can't	486|492|506|520|521
canada	486
canadalife	493
canadian-hot-100	495
canal	529
canals	529
canaries	505
canceled	493|496|522|530
cancellation	486|493|496
cancelled	493|496|506|513|518|522|529|531
cancels	513|531
cancer	531
canciones	504
candidate	492|499|529
candidate's	492
candidates	486|492|514|519
candle	533
candlelight	533
candlelit	533
candles	529
candy	496|503|529
cannabis	529
canned	503|518
cannery	518
cannibalism	527
cannibalistic	527
canning	518
cannon	499
cannot	488|492|493|499|506|517|531
canorus	527
cantondailyledger	499
canyon	503
cap	493|505|527
capabilities	527
capability	525
capable	527
capacities	486|518
capacity	486|506|531
capella	504
capillaries	527
capita	518
capitaC	518
capital	486|492|499|503|517|518|524|529
capitalisation	492
capitalise	492
capitalised	492
capitals	529
capitulation	499
capped	524
cappella	506|507
caprices	499
capsize	493
capsule	527
capsules	527
captain	517
captive	523
captivity	523
capture	499|517|523|533
captured	499|517|530|533
car	492|493|503|507|520|521|522|529
car'	492
car's	493
caravan	492
carbon	525
carbons	528
carburetor	493
carburettor	493
card	486|503|507
cardiac	528
cards	488|492|517|531
cardueline	505
carduus	505
care	488|490|492|499|501|503|504|517|522|523|527|531
career	491|501|506|520|521|522|530|531|533
career-spanning	530
careers	506|529
careful	487|493|533
cargo	499
caring	506
carnivorous	527
carolilinnaeisy00gesegoog	523
carotenoid	505
carpentry	493
carpet	492
carpetbagger	503
carpets	486
carpooling	529
carriage	493|501
carriageway	492
carrie-underwood-moves-past-kelly-clarkson-in-top-us-album-sales-by-an-american-idol-artist	506
carried	490|496|523|527
carrier	520|521
carriers	501|520|521
carries	496|522|527
carry	486|487|499|501|503|505|517|522|529
carrying	496|503|517|522|527
cars	492|522|529
carsharing	529
cart	486|499
cartilaginous	527
cartographer	524
cartoons	496|499
carunculata	523
carved	499|524
carving	518
cas	486|527
case	487|490|492|493|496|499|503|508|517|520|521|522|523|524|525|527|529|531|535
case-studies	492
caselaw	508
cases	486|487|492|493|496|499|503|508|517|522|525|529|535
cash	496|499|503|506|520|521
cash-rich	496
cash_johnny	506
cask	493
cassette	515
cast	492|506|507|533
castaways	490
casting	493|498|506
casts	533
casual	486|492|519
casualties	499|517|518
casualty	499
cat	515|519|528
cat_id	502
catalog	486|493|496|505
catalogNo	530
cataloged	493
cataloging	493
catalogs	486
